attribute,value,reference_count,error_count,comparison_count,reference_share,error_share,comparison_share,proportion_diff,lift,odds_ratio_corrected
Pclass,1,11,11,0,0.4583333333333333,0.4583333333333333,,0.0,1.0,
Pclass,2,3,3,0,0.125,0.125,,0.0,1.0,
Pclass,3,10,10,0,0.4166666666666667,0.4166666666666667,,0.0,1.0,
SibSp,0,15,15,0,0.625,0.625,,0.0,1.0,
SibSp,1,9,9,0,0.375,0.375,,0.0,1.0,
Parch,0,16,16,0,0.6666666666666666,0.6666666666666666,,0.0,1.0,
Parch,1,6,6,0,0.25,0.25,,0.0,1.0,
Parch,2,2,2,0,0.08333333333333333,0.08333333333333333,,0.0,1.0,
FamilySize,1,13,13,0,0.5416666666666666,0.5416666666666666,,0.0,1.0,
FamilySize,2,4,4,0,0.16666666666666666,0.16666666666666666,,0.0,1.0,
FamilySize,3,6,6,0,0.25,0.25,,0.0,1.0,
FamilySize,4,1,1,0,0.041666666666666664,0.041666666666666664,,0.0,1.0,
IsAlone,0,11,11,0,0.4583333333333333,0.4583333333333333,,0.0,1.0,
IsAlone,1,13,13,0,0.5416666666666666,0.5416666666666666,,0.0,1.0,
Embarked,C,6,6,0,0.25,0.25,,0.0,1.0,
Embarked,S,18,18,0,0.75,0.75,,0.0,1.0,
CabinKnown,0,15,15,0,0.625,0.625,,0.0,1.0,
CabinKnown,1,9,9,0,0.375,0.375,,0.0,1.0,
IsInfant,0,23,23,0,0.9583333333333334,0.9583333333333334,,0.0,1.0,
IsInfant,1,1,1,0,0.041666666666666664,0.041666666666666664,,0.0,1.0,
IsElderly,0,22,22,0,0.9166666666666666,0.9166666666666666,,0.0,1.0,
IsElderly,1,2,2,0,0.08333333333333333,0.08333333333333333,,0.0,1.0,
