seed,fold,family,accuracy,model__max_depth,model__C,model__penalty,model__max_features
0,1,decision tree,0.8435754189944135,3,,,
0,1,logistic regression,0.8156424581005587,,1.0,l2,
0,1,random forest,0.8435754189944135,5,,,sqrt
0,2,decision tree,0.8258426966292135,5,,,
0,2,logistic regression,0.8426966292134831,,10.0,l2,
0,2,random forest,0.848314606741573,5,,,sqrt
0,3,decision tree,0.8202247191011236,4,,,
0,3,logistic regression,0.7752808988764045,,0.1,l1,
0,3,random forest,0.8314606741573034,5,,,sqrt
0,4,decision tree,0.7696629213483146,3,,,
0,4,logistic regression,0.7584269662921348,,1.0,l1,
0,4,random forest,0.7640449438202247,4,,,sqrt
0,5,decision tree,0.7921348314606742,4,,,
0,5,logistic regression,0.7640449438202247,,1.0,l1,
0,5,random forest,0.797752808988764,5,,,sqrt
1,1,decision tree,0.8268156424581006,4,,,
1,1,logistic regression,0.7932960893854749,,0.1,l1,
1,1,random forest,0.8324022346368715,5,,,sqrt
1,2,decision tree,0.8258426966292135,3,,,
1,2,logistic regression,0.8033707865168539,,1.0,l2,
1,2,random forest,0.8426966292134831,5,,,sqrt
1,3,decision tree,0.7415730337078652,5,,,
1,3,logistic regression,0.8033707865168539,,0.1,l2,
1,3,random forest,0.7808988764044944,5,,,sqrt
1,4,decision tree,0.7865168539325843,3,,,
1,4,logistic regression,0.7584269662921348,,1.0,l1,
1,4,random forest,0.7808988764044944,4,,,sqrt
1,5,decision tree,0.8314606741573034,5,,,
1,5,logistic regression,0.8146067415730337,,0.1,l2,
1,5,random forest,0.848314606741573,4,,,sqrt
2,1,decision tree,0.8044692737430168,3,,,
2,1,logistic regression,0.8044692737430168,,0.1,l2,
2,1,random forest,0.8268156424581006,4,,,sqrt
2,2,decision tree,0.7752808988764045,5,,,
2,2,logistic regression,0.7696629213483146,,0.1,l2,
2,2,random forest,0.7865168539325843,5,,,sqrt
2,3,decision tree,0.8033707865168539,6,,,
2,3,logistic regression,0.7808988764044944,,0.1,l2,
2,3,random forest,0.8258426966292135,5,,,sqrt
2,4,decision tree,0.8146067415730337,3,,,
2,4,logistic regression,0.8033707865168539,,0.1,l1,
2,4,random forest,0.8370786516853933,4,,,sqrt
2,5,decision tree,0.8258426966292135,3,,,
2,5,logistic regression,0.8146067415730337,,1.0,l1,
2,5,random forest,0.8314606741573034,5,,,sqrt
3,1,decision tree,0.8212290502793296,3,,,
3,1,logistic regression,0.7988826815642458,,0.1,l1,
3,1,random forest,0.8324022346368715,5,,,sqrt
3,2,decision tree,0.848314606741573,3,,,
3,2,logistic regression,0.848314606741573,,1.0,l2,
3,2,random forest,0.8426966292134831,4,,,sqrt
3,3,decision tree,0.8089887640449438,4,,,
3,3,logistic regression,0.797752808988764,,0.1,l1,
3,3,random forest,0.8595505617977528,5,,,sqrt
3,4,decision tree,0.797752808988764,3,,,
3,4,logistic regression,0.7808988764044944,,0.1,l2,
3,4,random forest,0.7921348314606742,4,,,sqrt
3,5,decision tree,0.7640449438202247,4,,,
3,5,logistic regression,0.7471910112359551,,10.0,l1,
3,5,random forest,0.7640449438202247,4,,,sqrt
4,1,decision tree,0.7653631284916201,6,,,
4,1,logistic regression,0.7653631284916201,,10.0,l2,
4,1,random forest,0.7988826815642458,5,,,sqrt
4,2,decision tree,0.8426966292134831,3,,,
4,2,logistic regression,0.8314606741573034,,1.0,l1,
4,2,random forest,0.848314606741573,5,,,sqrt
4,3,decision tree,0.797752808988764,6,,,
4,3,logistic regression,0.7921348314606742,,0.1,l2,
4,3,random forest,0.8089887640449438,5,,,sqrt
4,4,decision tree,0.8089887640449438,5,,,
4,4,logistic regression,0.797752808988764,,0.1,l1,
4,4,random forest,0.797752808988764,4,,,sqrt
4,5,decision tree,0.8314606741573034,4,,,
4,5,logistic regression,0.7921348314606742,,0.1,l2,
4,5,random forest,0.8146067415730337,4,,,sqrt
5,1,decision tree,0.7988826815642458,4,,,
5,1,logistic regression,0.7486033519553073,,0.1,l2,
5,1,random forest,0.7877094972067039,5,,,sqrt
5,2,decision tree,0.8033707865168539,4,,,
5,2,logistic regression,0.8033707865168539,,1.0,l1,
5,2,random forest,0.8146067415730337,5,,,sqrt
5,3,decision tree,0.8033707865168539,4,,,
5,3,logistic regression,0.7752808988764045,,0.1,l1,
5,3,random forest,0.797752808988764,5,,,sqrt
5,4,decision tree,0.8033707865168539,6,,,
5,4,logistic regression,0.8089887640449438,,0.1,l2,
